survived,pclass,sex,age,sibsp,parch,fare,alone,family_size,is_alone,embarked_Q,embarked_S,age_group_teen,age_group_young_adult,age_group_adult,age_group_senior
0,3,0,-0.5450039275818203,1,0,-0.5881368868890025,0,0.037138750121092655,0,0,1,0,1,0,0
1,1,1,0.604229992319288,1,0,0.8268920986886399,0,0.037138750121092655,0,0,0,0,0,1,0
1,3,1,-0.25769544760654317,0,0,-0.5732205142318864,1,-0.6212300020255496,1,0,1,0,1,0,0
1,1,1,0.3887486323378302,1,0,0.4250715373017687,0,0.037138750121092655,0,0,1,0,1,0,0
0,3,0,0.3887486323378302,0,0,-0.5704582229990871,1,-0.6212300020255496,1,0,1,0,1,0,0
0,3,0,-0.32952256760036247,0,0,-0.5614354749162715,1,-0.6212300020255496,1,1,0,0,1,0,0
0,1,0,1.7534639122203963,0,0,0.3977248540970559,1,-0.6212300020255496,1,0,1,0,0,1,0
0,3,0,-1.9815463274582057,3,1,-0.2826274765414035,0,2.0122450065610193,0,0,1,0,0,0,0
1,3,1,-0.18586832761272393,0,2,-0.5023224425343673,0,0.6955075022677348,0,0,1,0,1,0,0
1,2,1,-1.1196208875323743,1,0,-0.08383532076527837,0,0.037138750121092655,0,0,0,1,0,0,0
1,3,1,-1.837892087470567,1,1,-0.37930766968937785,0,0.6955075022677348,0,0,1,0,0,0,0
1,1,1,2.0407723921956733,0,0,-0.1616391205447956,1,-0.6212300020255496,1,0,1,0,0,1,0
0,3,0,-0.6886581675694587,0,0,-0.5704582229990871,1,-0.6212300020255496,1,0,1,0,1,0,0
0,3,0,0.6760571123131073,1,5,-0.057224511944983354,0,3.3289825108543036,0,0,1,0,0,1,0
0,3,1,-1.1196208875323743,0,0,-0.5747850759861439,1,-0.6212300020255496,1,0,1,1,0,0,0
1,2,1,1.8252910322142155,0,0,-0.39477650059305375,1,-0.6212300020255496,1,0,1,0,0,1,0
0,3,0,-1.9815463274582057,4,1,-0.10473592114913072,0,2.6706137587076615,0,1,0,0,0,0,0
1,2,0,0.06552659236564351,0,0,-0.46107149018023613,1,-0.6212300020255496,1,0,1,0,1,0,0
0,3,1,0.10144015236255315,1,0,-0.3505798408682655,0,0.037138750121092655,0,0,1,0,1,0,0
1,3,1,-0.5450039275818203,0,0,-0.5886893451355623,1,-0.6212300020255496,1,0,0,0,1,0,0
0,2,0,0.3887486323378302,0,0,-0.17379320196911238,1,-0.6212300020255496,1,0,1,0,1,0,0
1,2,0,0.31692151234401095,0,0,-0.46107149018023613,1,-0.6212300020255496,1,0,1,0,1,0,0
1,3,1,-1.0477937675385551,0,0,-0.570917868260225,1,-0.6212300020255496,1,1,0,1,0,0,0
1,1,0,-0.11404120761890466,0,0,0.0361409317236319,1,-0.6212300020255496,1,0,1,0,1,0,0
0,3,1,-1.55058360749529,3,1,-0.2826274765414035,0,2.0122450065610193,0,0,1,0,0,0,0
1,3,1,0.604229992319288,1,5,-0.054738449835464,0,3.3289825108543036,0,0,1,0,0,1,0
0,3,0,-0.32952256760036247,0,0,-0.5886893451355623,1,-0.6212300020255496,1,0,0,0,1,0,0
0,1,0,-0.760485287563278,3,2,5.049699519254301,0,2.6706137587076615,0,0,1,0,1,0,0
1,3,1,-0.5450039275818203,0,0,-0.574232617739584,1,-0.6212300020255496,1,1,0,0,1,0,0
0,3,0,-0.32952256760036247,0,0,-0.5738657854638682,1,-0.6212300020255496,1,0,1,0,1,0,0
0,1,0,0.7478842323069266,0,0,-0.13576639594190454,1,-0.6212300020255496,1,0,0,0,0,1,0
1,1,1,0.3887486323378302,1,0,2.489515191710519,0,0.037138750121092655,0,0,0,0,1,0,0
1,3,1,-0.5450039275818203,0,0,-0.5770877219578053,1,-0.6212300020255496,1,1,0,0,1,0,0
0,2,0,2.6153893521462273,0,0,-0.5163173148362215,1,-0.6212300020255496,1,0,1,0,0,0,1
0,1,0,-0.11404120761890466,1,0,1.0674876650654561,0,0.037138750121092655,0,0,0,0,1,0,0
0,1,0,0.8915384722945651,1,0,0.40076337445313515,0,0.037138750121092655,0,0,1,0,0,1,0
1,3,0,-0.32952256760036247,0,0,-0.5885965321501403,1,-0.6212300020255496,1,0,0,0,1,0,0
0,3,0,-0.6168310475756396,0,0,-0.5704582229990871,1,-0.6212300020255496,1,0,1,0,1,0,0
0,3,1,-0.8323124075570973,2,0,-0.3505798408682655,0,0.6955075022677348,0,0,1,1,0,0,0
1,3,1,-1.1196208875323743,1,0,-0.4999269835772837,0,0.037138750121092655,0,0,0,1,0,0,0
0,3,1,0.7478842323069266,1,0,-0.5389681029451755,0,0.037138750121092655,0,0,1,0,0,1,0
0,2,1,-0.18586832761272393,1,0,-0.28428485128108305,0,0.037138750121092655,0,0,1,0,1,0,0
0,3,0,-0.32952256760036247,0,0,-0.5738657854638682,1,-0.6212300020255496,1,0,0,0,1,0,0
1,2,1,-1.9097192074643863,1,2,0.17048109862309835,0,1.353876254414377,0,0,0,0,0,0,0
